时间,波形名称,谐波次数,谐波值
2024-03-25 04:54:09,8222B极Ⅱ低端换流变角接阀侧首端末屏A相电压UVD1_L1,2,0.013442383758492002
2024-03-25 04:54:09,8222B极Ⅱ低端换流变角接阀侧首端末屏A相电压UVD1_L1,3,0.012908221519176661
2024-03-25 04:54:09,8222B极Ⅱ低端换流变角接阀侧首端末屏A相电压UVD1_L1,4,0.01600336385630761
2024-03-25 04:54:09,8222B极Ⅱ低端换流变角接阀侧首端末屏A相电压UVD1_L1,5,0.010571607053143636
2024-03-25 04:54:09,8222B极Ⅱ低端换流变角接阀侧首端末屏A相电压UVD1_L1,6,0.012655806482761219
2024-03-25 04:54:09,8222B极Ⅱ低端换流变角接阀侧首端末屏A相电压UVD1_L1,7,0.03217582299983033
2024-03-25 04:54:09,8222B极Ⅱ低端换流变角接阀侧首端末屏A相电压UVD1_L1,8,0.013172235105467407
2024-03-25 04:54:09,8222B极Ⅱ低端换流变角接阀侧首端末屏A相电压UVD1_L1,9,0.010396434391237898
2024-03-25 04:54:09,8222B极Ⅱ低端换流变角接阀侧首端末屏A相电压UVD1_L1,10,0.026633631967028948
2024-03-25 04:54:09,8222B极Ⅱ低端换流变角接阀侧首端末屏B相电压UVD1_L2,1,0.03380020975217403
2024-03-25 04:54:09,8222B极Ⅱ低端换流变角接阀侧首端末屏B相电压UVD1_L2,2,0.013179480295540174
2024-03-25 04:54:09,8222B极Ⅱ低端换流变角接阀侧首端末屏B相电压UVD1_L2,3,0.01055148282409047
2024-03-25 04:54:09,8222B极Ⅱ低端换流变角接阀侧首端末屏B相电压UVD1_L2,4,0.014724175891991518
2024-03-25 04:54:09,8222B极Ⅱ低端换流变角接阀侧首端末屏B相电压UVD1_L2,5,0.010776751702532252
2024-03-25 04:54:09,8222B极Ⅱ低端换流变角接阀侧首端末屏B相电压UVD1_L2,6,0.01093778411810172
2024-03-25 04:54:09,8222B极Ⅱ低端换流变角接阀侧首端末屏B相电压UVD1_L2,7,0.03172963379853996
2024-03-25 04:54:09,8222B极Ⅱ低端换流变角接阀侧首端末屏B相电压UVD1_L2,8,0.012502064810983059
2024-03-25 04:54:09,8222B极Ⅱ低端换流变角接阀侧首端末屏B相电压UVD1_L2,9,0.009923364136558985
2024-03-25 04:54:09,8222B极Ⅱ低端换流变角接阀侧首端末屏B相电压UVD1_L2,10,0.02784919719330537
2024-03-25 04:54:09,8222B极Ⅱ低端换流变角接阀侧首端末屏C相电压UVD1_L3,1,0.15116503832114198
